Cloudlet ID,Status,Datacenter ID,VM ID,Actual CPU Time,Start Time,End Time,Task Size,Wait Time,Response Time,Makespan,Turnaround Time
607,SUCCESS,2,23,3.27,0.01,3.28,Small,0.00,3.27,3.27,3.27
211,SUCCESS,2,21,3.30,0.01,3.31,Small,0.00,3.30,3.30,3.30
478,SUCCESS,2,10,3.31,0.01,3.32,Small,0.00,3.31,3.31,3.31
637,SUCCESS,2,6,3.31,0.01,3.32,Small,0.00,3.31,3.31,3.31
340,SUCCESS,2,15,3.33,0.01,3.34,Small,0.00,3.33,3.33,3.33
498,SUCCESS,2,26,3.34,0.01,3.35,Small,0.00,3.34,3.34,3.34
175,SUCCESS,2,18,3.34,0.01,3.35,Small,0.00,3.34,3.34,3.34
762,SUCCESS,2,23,3.38,0.01,3.39,Small,0.00,3.38,3.38,3.38
861,SUCCESS,2,30,3.40,0.01,3.41,Small,0.00,3.40,3.40,3.40
385,SUCCESS,2,3,3.44,0.01,3.45,Small,0.00,3.44,3.44,3.44
859,SUCCESS,2,45,3.46,0.01,3.47,Small,0.00,3.46,3.46,3.46
713,SUCCESS,2,47,3.46,0.01,3.47,Small,0.00,3.46,3.46,3.46
886,SUCCESS,2,32,3.48,0.01,3.49,Small,0.00,3.48,3.48,3.48
382,SUCCESS,2,40,3.54,0.01,3.55,Small,0.00,3.54,3.54,3.54
1062,SUCCESS,2,55,3.55,0.01,3.56,Medium,0.00,3.55,3.55,3.55
692,SUCCESS,2,17,3.55,0.01,3.56,Small,0.00,3.55,3.55,3.55
749,SUCCESS,2,28,3.55,0.01,3.56,Small,0.00,3.55,3.55,3.55
76,SUCCESS,2,3,3.58,0.01,3.59,Small,0.00,3.58,3.58,3.58
452,SUCCESS,2,0,3.59,0.01,3.60,Small,0.00,3.59,3.59,3.59
301,SUCCESS,2,43,3.59,0.01,3.60,Small,0.00,3.59,3.59,3.59
1236,SUCCESS,2,55,3.60,0.01,3.61,Medium,0.00,3.60,3.60,3.60
44,SUCCESS,2,27,3.60,0.01,3.61,Small,0.00,3.60,3.60,3.60
533,SUCCESS,2,8,3.60,0.01,3.61,Small,0.00,3.60,3.60,3.60
582,SUCCESS,2,49,3.62,0.01,3.63,Small,0.00,3.62,3.62,3.62
104,SUCCESS,2,1,3.63,0.01,3.64,Small,0.00,3.63,3.63,3.63
520,SUCCESS,2,23,3.69,0.01,3.70,Small,0.00,3.69,3.69,3.69
752,SUCCESS,2,6,3.71,0.01,3.72,Small,0.00,3.71,3.71,3.71
29,SUCCESS,2,12,3.72,0.01,3.73,Small,0.00,3.72,3.72,3.72
262,SUCCESS,2,29,3.72,0.01,3.73,Small,0.00,3.72,3.72,3.72
185,SUCCESS,2,49,3.74,0.01,3.75,Small,0.00,3.74,3.74,3.74
742,SUCCESS,2,42,3.76,0.01,3.77,Small,0.00,3.76,3.76,3.76
570,SUCCESS,2,20,3.77,0.01,3.78,Small,0.00,3.77,3.77,3.77
380,SUCCESS,2,26,3.79,0.01,3.80,Small,0.00,3.79,3.79,3.79
449,SUCCESS,2,46,3.81,0.01,3.82,Small,0.00,3.81,3.81,3.81
510,SUCCESS,2,25,3.82,0.01,3.83,Small,0.00,3.82,3.82,3.82
739,SUCCESS,2,13,3.84,0.01,3.85,Small,0.00,3.84,3.84,3.84
190,SUCCESS,2,28,3.85,0.01,3.86,Small,0.00,3.85,3.85,3.85
356,SUCCESS,2,13,3.87,0.01,3.88,Small,0.00,3.87,3.87,3.87
1685,SUCCESS,2,55,3.91,0.01,3.92,Medium,0.00,3.91,3.91,3.91
743,SUCCESS,2,33,3.92,0.01,3.93,Small,0.00,3.92,3.92,3.92
215,SUCCESS,2,9,3.93,0.01,3.94,Small,0.00,3.93,3.93,3.93
50,SUCCESS,2,13,3.95,0.01,3.96,Small,0.00,3.95,3.95,3.95
1644,SUCCESS,2,59,3.95,0.01,3.96,Medium,0.00,3.95,3.95,3.95
412,SUCCESS,2,21,3.99,0.01,4.00,Small,0.00,3.99,3.99,3.99
1487,SUCCESS,2,55,3.99,0.01,4.00,Medium,0.00,3.99,3.99,3.99
303,SUCCESS,2,6,3.99,0.01,4.00,Small,0.00,3.99,3.99,3.99
34,SUCCESS,2,48,3.99,0.01,4.00,Small,0.00,3.99,3.99,3.99
731,SUCCESS,2,12,4.03,0.01,4.04,Small,0.00,4.03,4.03,4.03
492,SUCCESS,2,5,4.05,0.01,4.06,Small,0.00,4.05,4.05,4.05
423,SUCCESS,2,22,4.08,0.01,4.09,Small,0.00,4.08,4.08,4.08
884,SUCCESS,2,16,4.08,0.01,4.09,Small,0.00,4.08,4.08,4.08
846,SUCCESS,2,16,4.09,0.01,4.10,Small,0.00,4.09,4.09,4.09
365,SUCCESS,2,28,4.09,0.01,4.10,Small,0.00,4.09,4.09,4.09
254,SUCCESS,2,43,4.10,0.01,4.11,Small,0.00,4.10,4.10,4.10
553,SUCCESS,2,19,4.10,0.01,4.11,Small,0.00,4.10,4.10,4.10
63,SUCCESS,2,42,4.14,0.01,4.15,Small,0.00,4.14,4.14,4.14
383,SUCCESS,2,33,4.17,0.01,4.18,Small,0.00,4.17,4.17,4.17
542,SUCCESS,2,40,4.18,0.01,4.19,Small,0.00,4.18,4.18,4.18
128,SUCCESS,2,22,4.18,0.01,4.19,Small,0.00,4.18,4.18,4.18
117,SUCCESS,2,44,4.18,0.01,4.19,Small,0.00,4.18,4.18,4.18
831,SUCCESS,2,11,4.20,0.01,4.21,Small,0.00,4.20,4.20,4.20
307,SUCCESS,2,3,4.20,0.01,4.21,Small,0.00,4.20,4.20,4.20
1065,SUCCESS,2,87,4.20,0.01,4.21,Medium,0.00,4.20,4.20,4.20
735,SUCCESS,2,17,4.24,0.01,4.25,Small,0.00,4.24,4.24,4.24
781,SUCCESS,2,46,4.27,0.01,4.28,Small,0.00,4.27,4.27,4.27
22,SUCCESS,2,11,4.30,0.01,4.31,Small,0.00,4.30,4.30,4.30
1484,SUCCESS,2,71,4.32,0.01,4.33,Medium,0.00,4.32,4.32,4.32
671,SUCCESS,2,43,4.32,0.01,4.33,Small,0.00,4.32,4.32,4.32
634,SUCCESS,2,36,4.32,0.01,4.33,Small,0.00,4.32,4.32,4.32
411,SUCCESS,2,0,4.34,0.01,4.35,Small,0.00,4.34,4.34,4.34
523,SUCCESS,2,42,4.34,0.01,4.35,Small,0.00,4.34,4.34,4.34
893,SUCCESS,2,46,4.34,0.01,4.35,Small,0.00,4.34,4.34,4.34
1310,SUCCESS,2,55,4.37,0.01,4.38,Medium,0.00,4.37,4.37,4.37
711,SUCCESS,2,6,4.37,0.01,4.38,Small,0.00,4.37,4.37,4.37
572,SUCCESS,2,12,4.39,0.01,4.40,Small,0.00,4.39,4.39,4.39
180,SUCCESS,2,26,4.39,0.01,4.40,Small,0.00,4.39,4.39,4.39
56,SUCCESS,2,2,4.40,0.01,4.41,Small,0.00,4.40,4.40,4.40
683,SUCCESS,2,39,4.40,0.01,4.41,Small,0.00,4.40,4.40,4.40
797,SUCCESS,2,2,4.44,0.01,4.45,Small,0.00,4.44,4.44,4.44
38,SUCCESS,2,6,4.44,0.01,4.45,Small,0.00,4.44,4.44,4.44
737,SUCCESS,2,18,4.45,0.01,4.46,Small,0.00,4.45,4.45,4.45
326,SUCCESS,2,20,4.47,0.01,4.48,Small,0.00,4.47,4.47,4.47
225,SUCCESS,2,11,4.49,0.01,4.50,Small,0.00,4.49,4.49,4.49
108,SUCCESS,2,43,4.49,0.01,4.50,Small,0.00,4.49,4.49,4.49
836,SUCCESS,2,40,4.51,0.01,4.52,Small,0.00,4.51,4.51,4.51
209,SUCCESS,2,42,4.51,0.01,4.52,Small,0.00,4.51,4.51,4.51
357,SUCCESS,2,44,4.52,0.01,4.53,Small,0.00,4.52,4.52,4.52
799,SUCCESS,2,36,4.52,0.01,4.53,Small,0.00,4.52,4.52,4.52
151,SUCCESS,2,31,4.54,0.01,4.55,Small,0.00,4.54,4.54,4.54
338,SUCCESS,2,16,4.54,0.01,4.55,Small,0.00,4.54,4.54,4.54
300,SUCCESS,2,26,4.54,0.01,4.55,Small,0.00,4.54,4.54,4.54
575,SUCCESS,2,20,4.57,0.01,4.58,Small,0.00,4.57,4.57,4.57
1027,SUCCESS,2,71,4.57,0.01,4.58,Medium,0.00,4.57,4.57,4.57
668,SUCCESS,2,23,4.57,0.01,4.58,Small,0.00,4.57,4.57,4.57
